CustomerID,Total_Spending,Average_Order_Value,Total_Quantity,Average_Unit_Price,Total_Items_In_Cart,Number_of_Orders,Cluster
C17389,522.08,522.08,1,522.08,5,1,0
C17470,461.9,461.9,2,230.95,3,1,0
C17551,518.39,518.39,1,518.39,4,1,0
C17921,1210.6,1210.6,4,302.65,8,1,1
C17966,185.74,185.74,2,92.87,5,1,0
C18037,140.68,140.68,2,70.34,3,1,0
C18076,1766.22,1766.22,3,588.74,8,1,1
C18104,635.9,635.9,5,127.18,9,1,0
C18105,2332.08,2332.08,4,583.02,4,1,1
C18138,1618.38,1618.38,3,539.46,4,1,1
C18187,605.28,605.28,1,605.28,3,1,0
C18353,1299.99,1299.99,3,433.33,4,1,0
C18404,3370.2,3370.2,5,674.04,7,1,1
C18473,840.58,840.58,2,420.29,3,1,0
C18567,365.84,365.84,4,91.46,9,1,0
C18583,1822.1,1822.1,5,364.42,10,1,1
C18717,2793.15,2793.15,5,558.63,8,1,1
C18820,2573.0,2573.0,5,514.6,10,1,1
C18826,1443.3,1443.3,3,481.1,3,1,0
C18944,1575.2,1575.2,4,393.8,7,1,1
C18984,1767.9,1767.9,3,589.3,6,1,1
C19071,1352.94,1352.94,3,450.98,8,1,1
C19384,351.16,351.16,4,87.79,6,1,0
C19439,440.34,440.34,1,440.34,2,1,0
C19648,2673.44,2673.44,4,668.36,5,1,1
C19722,596.24,596.24,1,596.24,4,1,0
C19742,332.09,332.09,1,332.09,5,1,0
C19759,1176.6,1176.6,2,588.3,2,1,0
C19937,438.34,438.34,1,438.34,5,1,0
C20077,2372.88,2372.88,4,593.22,8,1,1
C20212,1834.35,1834.35,3,611.45,4,1,1
C20256,1616.22,1616.22,3,538.74,6,1,1
C20257,1343.9,1343.9,5,268.78,7,1,1
C20286,571.9,571.9,1,571.9,1,1,0
C20338,370.85,370.85,1,370.85,2,1,0
C20357,2077.32,2077.32,3,692.44,8,1,1
C20448,296.44,296.44,2,148.22,7,1,0
C20624,479.56,479.56,1,479.56,1,1,0
C20643,2011.96,2011.96,4,502.99,4,1,1
C20670,935.82,935.82,2,467.91,5,1,0
C20731,1777.76,1777.76,4,444.44,8,1,1
C20752,572.13,572.13,1,572.13,4,1,0
C20817,3078.35,3078.35,5,615.67,6,1,1
C20861,2441.75,2441.75,5,488.35,9,1,1
C20881,1288.1,1288.1,2,644.05,5,1,1
C20977,1740.48,1740.48,4,435.12,9,1,1
C21043,694.5,694.5,1,694.5,3,1,0
C21126,107.04,107.04,1,107.04,6,1,0
C21147,335.1,335.1,1,335.1,6,1,0
C21167,2235.6,2235.6,4,558.9,9,1,1
C21181,1350.2,1350.2,2,675.1,4,1,1
C21191,647.77,323.885,3,243.39499999999998,4,2,2
C21227,590.87,590.87,1,590.87,6,1,0
C21665,1700.72,1700.72,4,425.18,8,1,1
C21905,298.06,298.06,1,298.06,3,1,0
C21953,250.46,250.46,2,125.23,3,1,0
C22101,265.2,265.2,2,132.6,4,1,0
C22123,672.89,672.89,1,672.89,1,1,0
C22429,604.8,604.8,4,151.2,9,1,0
C22657,1901.91,1901.91,3,633.97,7,1,1
C22783,2771.64,2771.64,4,692.91,9,1,1
C22981,472.2,472.2,3,157.4,7,1,0
C23279,87.34,87.34,2,43.67,4,1,0
C23334,331.06,331.06,1,331.06,5,1,0
C23555,1633.44,1633.44,4,408.36,4,1,1
C23899,1358.45,1358.45,5,271.69,7,1,1
C23917,127.55,127.55,1,127.55,3,1,0
C23947,120.98,120.98,1,120.98,6,1,0
C23978,576.35,576.35,1,576.35,1,1,0
C24047,937.8,937.8,4,234.45,9,1,0
C24212,322.08,322.08,3,107.36,5,1,0
C24301,1284.08,1284.08,2,642.04,4,1,0
C24347,646.9,646.9,2,323.45,5,1,0
C24369,1079.19,1079.19,3,359.73,7,1,0
C24751,2506.3,2506.3,5,501.26,10,1,1
C24769,57.1,57.1,2,28.55,7,1,0
C24884,260.26,260.26,1,260.26,5,1,0
C24901,299.7,299.7,3,99.9,8,1,0
C25110,126.42,126.42,2,63.21,4,1,0
C25123,629.21,629.21,1,629.21,2,1,0
C25149,1054.48,1054.48,4,263.62,5,1,0
C25268,665.11,665.11,1,665.11,3,1,0
C25276,3313.9,3313.9,5,662.78,9,1,1
C25316,79.06,79.06,2,39.53,3,1,0
C25406,161.24,161.24,1,161.24,3,1,0
C25445,658.5,658.5,5,131.7,8,1,0
C25503,211.14,211.14,2,105.57,5,1,0
C25534,984.2,984.2,5,196.84,5,1,0
C25580,1563.36,1563.36,4,390.84,9,1,1
C25783,1253.4,1253.4,5,250.68,8,1,1
C25841,904.65,904.65,3,301.55,5,1,0
C25918,666.95,666.95,5,133.39,6,1,0
C26118,144.78,144.78,2,72.39,7,1,0
C26152,972.7,972.7,2,486.35,6,1,0
C26163,625.1,625.1,5,125.02,9,1,0
C26188,618.68,618.68,1,618.68,6,1,0
C26210,1334.25,1334.25,3,444.75,6,1,1
C26223,657.07,657.07,1,657.07,4,1,0
C26340,369.2,369.2,2,184.6,7,1,0
C26364,1314.24,1314.24,4,328.56,4,1,0
C26637,869.8,869.8,5,173.96,8,1,0
C26718,1052.36,1052.36,4,263.09,8,1,0
C26767,303.6,303.6,1,303.6,5,1,0
C26966,1872.9,1872.9,5,374.58,10,1,1
C27070,2612.52,2612.52,4,653.13,8,1,1
C27202,3267.35,3267.35,5,653.47,10,1,1
C27203,1040.85,1040.85,5,208.17,6,1,0
C27305,1390.58,1390.58,2,695.29,6,1,1
C27430,474.25,474.25,5,94.85,6,1,0
C27435,2104.9,2104.9,5,420.98,7,1,1
C27438,70.32,70.32,1,70.32,4,1,0
C27613,2462.6,2462.6,4,615.65,9,1,1
C27898,2513.55,2513.55,5,502.71,7,1,1
C28049,1293.38,1293.38,2,646.69,7,1,1
C28152,1714.59,1714.59,3,571.53,6,1,1
C28386,277.09,277.09,1,277.09,2,1,0
C28406,23.53,23.53,1,23.53,2,1,0
C28648,1895.44,1895.44,4,473.86,7,1,1
C28740,1670.97,1670.97,3,556.99,4,1,1
C28889,258.87,258.87,3,86.29,6,1,0
C28893,620.21,620.21,1,620.21,1,1,0
C28976,1067.62,1067.62,2,533.81,3,1,0
C29059,1503.9,1503.9,3,501.3,3,1,1
C29063,478.75,478.75,5,95.75,8,1,0
C29314,788.6,788.6,2,394.3,6,1,0
C29405,448.74,448.74,2,224.37,3,1,0
C29416,150.17,150.17,1,150.17,1,1,0
C29432,1406.22,1406.22,3,468.74,4,1,1
C29467,191.76,191.76,1,191.76,1,1,0
C29568,194.44,194.44,4,48.61,7,1,0
C29685,1923.45,1923.45,5,384.69,6,1,1
C29697,401.82,401.82,1,401.82,5,1,0
C29701,61.62,61.62,3,20.54,3,1,0
C29703,2790.0,2790.0,4,697.5,7,1,1
C29758,798.64,798.64,2,399.32,6,1,0
C29844,877.24,877.24,2,438.62,3,1,0
C29885,568.32,568.32,3,189.44,4,1,0
C29905,1067.9,1067.9,2,533.95,5,1,0
C29914,133.39,133.39,1,133.39,2,1,0
C29931,612.36,612.36,4,153.09,4,1,0
C30010,382.23,382.23,3,127.41,7,1,0
C30168,933.99,933.99,3,311.33,3,1,0
C30184,427.06,427.06,1,427.06,1,1,0
C30334,267.1,267.1,2,133.55,7,1,0
C30411,2551.16,2551.16,4,637.79,9,1,1
C30477,201.58,201.58,1,201.58,2,1,0
C30513,586.44,586.44,1,586.44,5,1,0
C30643,918.87,918.87,3,306.29,7,1,0
C30686,1614.32,1614.32,4,403.58,9,1,1
C30711,278.66,278.66,1,278.66,2,1,0
C30923,654.27,654.27,1,654.27,2,1,0
C30955,167.6,167.6,4,41.9,9,1,0
C31072,916.4,916.4,4,229.1,8,1,0
C31105,583.99,583.99,1,583.99,2,1,0
C31412,2042.32,2042.32,4,510.58,7,1,1
C31668,569.35,569.35,5,113.87,6,1,0
C31761,2600.16,2600.16,4,650.04,6,1,1
C31810,178.44,178.44,1,178.44,2,1,0
C31946,2037.52,2037.52,4,509.38,6,1,1
C32011,628.89,628.89,1,628.89,2,1,0
C32029,701.44,701.44,4,175.36,4,1,0
C32121,795.24,795.24,4,198.81,9,1,0
C32183,1985.67,1985.67,3,661.89,6,1,1
C32347,249.81,249.81,1,249.81,1,1,0
C32570,11.39,11.39,1,11.39,6,1,0
C32580,1874.95,1874.95,5,374.99,9,1,1
C32650,1210.52,1210.52,2,605.26,4,1,0
C32687,852.44,852.44,2,426.22,7,1,0
C32798,993.24,993.24,2,496.62,2,1,0
C32854,65.45,65.45,1,65.45,2,1,0
C32943,824.28,824.28,2,412.14,2,1,0
C32956,2715.8,2715.8,5,543.16,6,1,1
C33051,883.08,883.08,2,441.54,2,1,0
C33099,241.9,241.9,5,48.38,9,1,0
C33110,1584.42,1584.42,3,528.14,3,1,1
C33260,1270.59,1270.59,3,423.53,6,1,1
C33313,1738.65,1738.65,3,579.55,8,1,1
C33540,273.19,273.19,1,273.19,5,1,0
C33729,1978.71,1978.71,3,659.57,6,1,1
C34134,254.12,254.12,1,254.12,1,1,0
C34266,2519.52,2519.52,4,629.88,8,1,1
C34337,950.55,950.55,5,190.11,7,1,0
C34416,99.24,99.24,2,49.62,2,1,0
C34555,372.8,372.8,1,372.8,6,1,0
C34686,68.39,68.39,1,68.39,3,1,0
C35043,132.15,132.15,5,26.43,5,1,0
C35091,211.14,211.14,1,211.14,1,1,0
C35100,639.82,639.82,2,319.91,3,1,0
C35117,1395.86,1395.86,2,697.93,2,1,0
C35123,1546.92,1546.92,4,386.73,4,1,1
C35136,634.94,634.94,1,634.94,5,1,0
C35168,1199.72,1199.72,2,599.86,7,1,1
C35355,1327.6,1327.6,4,331.9,5,1,1
C35377,3119.05,3119.05,5,623.81,6,1,1
C35397,331.55,331.55,5,66.31,7,1,0
C35483,671.1,671.1,3,223.7,3,1,0
C35566,258.76,258.76,4,64.69,7,1,0
C35628,1660.71,1660.71,3,553.57,4,1,1
C35785,427.82,427.82,1,427.82,2,1,0
C35852,104.16,104.16,4,26.04,5,1,0
C35854,939.85,939.85,5,187.97,9,1,1
C35983,3137.15,3137.15,5,627.43,10,1,1
C35987,3267.3,3267.3,5,653.46,9,1,1
C36150,1069.82,1069.82,2,534.91,5,1,0
C36174,926.94,926.94,3,308.98,3,1,0
C36383,2107.2,2107.2,5,421.44,5,1,1
C36408,3075.5,3075.5,5,615.1,10,1,1
C36467,75.78,75.78,1,75.78,5,1,0
C36492,45.94,45.94,1,45.94,2,1,0
C36497,86.3,86.3,2,43.15,3,1,0
C36534,1963.62,1963.62,3,654.54,7,1,1
C36540,728.32,728.32,4,182.08,4,1,0
C36613,1894.92,1894.92,3,631.64,3,1,1
C36688,305.17,305.17,1,305.17,3,1,0
C36725,3253.6,3253.6,5,650.72,8,1,1
C36778,388.33,388.33,1,388.33,2,1,0
C36938,761.94,761.94,3,253.98,3,1,0
C36997,745.64,745.64,4,186.41,6,1,0
C37032,847.76,847.76,2,423.88,7,1,0
C37249,491.72,491.72,2,245.86,4,1,0
C37412,432.47,432.47,1,432.47,4,1,0
C37455,2380.05,2380.05,5,476.01,7,1,1
C37531,1349.3,1349.3,5,269.86,6,1,1
C37594,1361.2,1361.2,4,340.3,8,1,1
C37969,362.46,362.46,3,120.82,5,1,0
C38024,546.86,546.86,2,273.43,7,1,0
C38068,1302.65,1302.65,5,260.53,5,1,1
C38126,2060.76,2060.76,4,515.19,9,1,1
C38134,419.88,419.88,2,209.94,3,1,0
C38557,1915.5,1915.5,3,638.5,4,1,1
C38642,1046.0,1046.0,5,209.2,6,1,0
C38785,361.0,361.0,2,180.5,6,1,0
C38840,2332.28,2332.28,4,583.07,6,1,1
C39000,287.46,287.46,1,287.46,3,1,0
C39017,994.38,994.38,3,331.46,6,1,0
C39074,3032.6,3032.6,5,606.52,6,1,1
C39106,546.19,546.19,1,546.19,5,1,0
C39176,1737.68,1737.68,4,434.42,6,1,1
C39246,931.4,931.4,5,186.28,8,1,0
C39256,417.1,417.1,1,417.1,3,1,0
C39260,427.66,427.66,2,213.83,2,1,0
C39530,1704.15,1704.15,3,568.05,6,1,1
C39551,76.93,76.93,1,76.93,6,1,0
C39593,2078.13,2078.13,3,692.71,3,1,1
C39648,465.33,465.33,1,465.33,2,1,0
C39664,946.25,946.25,5,189.25,10,1,1
C39791,597.06,597.06,2,298.53,5,1,0
C39911,2073.6,2073.6,4,518.4,7,1,1
C40136,1039.56,1039.56,3,346.52,3,1,0
C40201,185.82,185.82,2,92.91,3,1,0
C40304,479.36,479.36,4,119.84,8,1,0
C40427,613.98,613.98,1,613.98,4,1,0
C40466,541.64,541.64,1,541.64,5,1,0
C40538,423.64,423.64,2,211.82,4,1,0
C40648,603.76,603.76,2,301.88,5,1,0
C40771,697.96,697.96,4,174.49,5,1,0
C40798,1081.98,1081.98,3,360.66,5,1,0
C40863,489.39,489.39,3,163.13,5,1,0
C40882,868.52,868.52,4,217.13,8,1,0
C40949,1105.26,1105.26,2,552.63,7,1,0
C41137,1347.39,1347.39,3,449.13,5,1,1
C41284,737.92,737.92,4,184.48,4,1,0
C41320,1709.52,1709.52,3,569.84,8,1,1
C41331,1203.05,1203.05,5,240.61,10,1,1
C41460,747.75,747.75,5,149.55,9,1,0
C41478,2138.28,2138.28,4,534.57,6,1,1
C41598,1472.76,1472.76,3,490.92,5,1,1
C41709,712.7,712.7,2,356.35,6,1,0
C41903,160.8,160.8,3,53.6,4,1,0
C41974,2099.79,2099.79,3,699.93,7,1,1
C42108,641.36,641.36,2,320.68,5,1,0
C42235,1193.44,1193.44,4,298.36,8,1,1
C42270,482.98,482.98,2,241.49,7,1,0
C42365,214.08,214.08,1,214.08,2,1,0
C42372,1093.0,1093.0,4,273.25,5,1,0
C42577,399.98,399.98,1,399.98,3,1,0
C42949,660.66,660.66,1,660.66,3,1,0
C43212,2200.56,2200.56,4,550.14,4,1,1
C43249,1391.43,1391.43,3,463.81,8,1,1
C43330,580.47,580.47,3,193.49,6,1,0
C43335,548.24,548.24,2,274.12,6,1,0
C43443,3129.85,3129.85,5,625.97,9,1,1
C43524,2621.3,2621.3,5,524.26,5,1,1
C43538,1290.18,1290.18,3,430.06,8,1,1
C43545,1876.25,1876.25,5,375.25,9,1,1
C43546,485.91,485.91,3,161.97,4,1,0
C43595,2807.4,2807.4,5,561.48,9,1,1
C43721,131.61,131.61,1,131.61,2,1,0
C43842,1303.14,1303.14,2,651.57,7,1,1
C43867,524.06,524.06,1,524.06,3,1,0
C43911,1674.84,1674.84,4,418.71,8,1,1
C43919,1804.8,1804.8,3,601.6,7,1,1
C44148,1505.72,1505.72,4,376.43,5,1,1
C44176,77.64,77.64,1,77.64,1,1,0
C44267,853.4,853.4,2,426.7,5,1,0
C44277,458.63,458.63,1,458.63,4,1,0
C44366,776.44,776.44,2,388.22,2,1,0
C44733,87.06,87.06,1,87.06,4,1,0
C45104,687.89,687.89,1,687.89,1,1,0
C45175,70.82,70.82,1,70.82,1,1,0
C45187,420.65,420.65,5,84.13,9,1,0
C45599,2379.75,2379.75,5,475.95,8,1,1
C45671,1314.96,1314.96,2,657.48,5,1,1
C45862,176.1,176.1,1,176.1,1,1,0
C45899,1285.96,1285.96,2,642.98,7,1,1
C46015,1812.3,1812.3,5,362.46,6,1,1
C46210,1286.64,1286.64,3,428.88,3,1,0
C46316,930.36,930.36,2,465.18,2,1,0
C46504,745.84,745.84,2,372.92,7,1,0
C46509,1174.98,1174.98,2,587.49,6,1,0
C46651,1360.8899999999999,680.4449999999999,5,239.025,10,2,2
C46877,210.7,210.7,1,210.7,2,1,0
C46886,1849.17,1849.17,3,616.39,6,1,1
C46920,1362.12,1362.12,2,681.06,3,1,0
C46967,1026.84,1026.84,2,513.42,5,1,0
C47086,609.16,609.16,4,152.29,6,1,0
C47283,263.96,263.96,1,263.96,2,1,0
C47307,1202.86,1202.86,2,601.43,5,1,0
C47486,320.92,320.92,1,320.92,5,1,0
C47761,1165.4,1165.4,4,291.35,6,1,0
C47778,3334.0,3334.0,5,666.8,7,1,1
C48120,280.25,280.25,1,280.25,5,1,0
C48176,1736.92,1736.92,4,434.23,8,1,1
C48453,3194.0,3194.0,5,638.8,10,1,1
C48510,1042.8,1042.8,2,521.4,7,1,0
C48577,1640.84,1640.84,4,410.21,5,1,1
C48601,414.47,414.47,1,414.47,3,1,0
C48646,1159.1,1159.1,5,231.82,6,1,1
C48649,204.36,204.36,3,68.12,3,1,0
C48713,159.8,159.8,5,31.96,5,1,0
C48846,904.1,904.1,2,452.05,3,1,0
C48939,2147.25,2147.25,5,429.45,5,1,1
C48942,2654.68,2654.68,4,663.67,7,1,1
C48946,309.85,309.85,5,61.97,6,1,0
C48965,299.35,299.35,1,299.35,5,1,0
C49009,537.4,537.4,5,107.48,9,1,0
C49137,598.46,598.46,2,299.23,2,1,0
C49187,535.5,535.5,1,535.5,5,1,0
C49198,1940.37,1940.37,3,646.79,5,1,1
C49282,253.7,253.7,5,50.74,7,1,0
C49605,457.82,457.82,2,228.91,4,1,0
C49720,391.83,391.83,3,130.61,4,1,0
C49726,17.98,17.98,1,17.98,6,1,0
C49831,1474.29,1474.29,3,491.43,6,1,1
C49995,984.44,984.44,4,246.11,4,1,0
C50087,366.33,366.33,3,122.11,4,1,0
C50114,98.16,98.16,2,49.08,7,1,0
C50159,667.02,667.02,3,222.34,5,1,0
C50211,53.0,53.0,2,26.5,3,1,0
C50236,2463.32,2463.32,4,615.83,4,1,1
C50274,1528.26,1528.26,3,509.42,5,1,1
C50275,269.65,269.65,5,53.93,7,1,0
C50304,930.3,930.3,2,465.15,2,1,0
C50415,2830.35,2830.35,5,566.07,6,1,1
C50422,1129.16,1129.16,2,564.58,4,1,0
C50612,226.64,226.64,4,56.66,4,1,0
C50732,590.04,590.04,4,147.51,4,1,0
C50967,364.8,364.8,2,182.4,5,1,0
C51024,489.8,489.8,1,489.8,4,1,0
C51145,2403.24,2403.24,4,600.81,9,1,1
C51157,1778.61,1778.61,3,592.87,3,1,1
C51404,378.12,378.12,2,189.06,7,1,0
C51494,977.74,977.74,2,488.87,4,1,0
C51694,1361.7,1361.7,2,680.85,6,1,1
C51898,898.44,898.44,4,224.61,6,1,0
C52184,162.77,162.77,1,162.77,4,1,0
C52313,836.52,836.52,2,418.26,2,1,0
C52604,506.5,506.5,5,101.3,7,1,0
C52717,2756.35,2756.35,5,551.27,7,1,1
C52751,1055.72,1055.72,4,263.93,4,1,0
C52879,3194.6,3194.6,5,638.92,5,1,1
C52915,657.08,657.08,2,328.54,6,1,0
C53070,2048.24,2048.24,4,512.06,5,1,1
C53215,265.38,265.38,1,265.38,6,1,0
C53252,570.32,570.32,4,142.58,4,1,0
C53277,1595.16,1595.16,3,531.72,7,1,1
C53334,1496.04,1496.04,3,498.68,4,1,1
C53464,3299.25,3299.25,5,659.85,9,1,1
C53488,410.52,410.52,3,136.84,3,1,0
C53501,249.57,249.57,1,249.57,3,1,0
C53631,595.89,595.89,3,198.63,8,1,0
C53697,827.36,827.36,4,206.84,5,1,0
C54277,519.16,519.16,2,259.58,7,1,0
C54298,1437.63,1437.63,3,479.21,5,1,1
C54390,580.74,580.74,3,193.58,7,1,0
C54409,1018.17,1018.17,3,339.39,7,1,0
C54494,352.92,352.92,2,176.46,2,1,0
C54499,668.48,668.48,1,668.48,1,1,0
C54725,289.32,289.32,2,144.66,7,1,0
C54759,109.29,109.29,1,109.29,5,1,0
C54829,312.55,312.55,5,62.51,9,1,0
C54886,355.15,355.15,1,355.15,2,1,0
C55205,793.4,793.4,4,198.35,7,1,0
C55286,2873.95,2873.95,5,574.79,8,1,1
C55354,684.22,684.22,2,342.11,2,1,0
C55388,1213.86,1213.86,3,404.62,6,1,0
C55454,677.48,677.48,1,677.48,1,1,0
C55590,625.51,625.51,1,625.51,1,1,0
C55606,1102.0,1102.0,4,275.5,8,1,1
C55636,1702.4,1702.4,4,425.6,5,1,1
C55819,1268.75,1268.75,5,253.75,9,1,1
C55996,2543.45,2543.45,5,508.69,10,1,1
C56266,640.88,640.88,4,160.22,9,1,0
C56553,212.43,212.43,3,70.81,8,1,0
C56564,507.48,507.48,2,253.74,5,1,0
C56722,110.35,110.35,5,22.07,7,1,0
C56796,678.38,678.38,1,678.38,4,1,0
C56851,958.15,958.15,5,191.63,6,1,0
C56928,1435.0,1435.0,4,358.75,9,1,1
C56938,1117.8,1117.8,3,372.6,7,1,0
C56969,193.0,96.5,3,62.300000000000004,8,2,2
C57276,3456.4,3456.4,5,691.28,10,1,1
C57502,2242.32,2242.32,4,560.58,6,1,1
C57861,915.48,915.48,3,305.16,8,1,0
C58063,987.26,987.26,2,493.63,6,1,0
C58108,2517.36,2517.36,4,629.34,4,1,1
C58156,95.1,95.1,1,95.1,1,1,0
C58341,639.83,639.83,1,639.83,2,1,0
C58410,645.46,645.46,1,645.46,5,1,0
C58503,1402.6,1402.6,5,280.52,7,1,1
C58638,1531.52,1531.52,4,382.88,6,1,1
C58808,539.66,539.66,2,269.83,4,1,0
C58858,674.64,674.64,2,337.32,4,1,0
C59139,458.35,458.35,5,91.67,9,1,0
C59183,3322.55,3322.55,5,664.51,8,1,1
C59278,2360.05,2360.05,5,472.01,10,1,1
C59338,2070.9,2070.9,3,690.3,6,1,1
C59441,2092.65,2092.65,5,418.53,6,1,1
C59554,912.08,912.08,2,456.04,4,1,0
C59572,542.07,542.07,1,542.07,6,1,0
C59724,819.5,819.5,2,409.75,2,1,0
C59752,1538.8,1538.8,5,307.76,9,1,1
C59774,72.6,72.6,1,72.6,6,1,0
C60029,1524.36,1524.36,3,508.12,8,1,1
C60037,1054.92,1054.92,2,527.46,3,1,0
C60178,1023.45,1023.45,3,341.15,4,1,0
C60190,1898.76,1898.76,4,474.69,6,1,1
C60203,583.7,583.7,2,291.85,5,1,0
C60215,334.4,334.4,4,83.6,4,1,0
C60355,1000.58,1000.58,2,500.29,7,1,0
C60361,1948.1,1948.1,5,389.62,7,1,1
C60384,1484.28,1484.28,4,371.07,7,1,1
C60699,1235.85,1235.85,3,411.95,7,1,1
C61070,951.56,951.56,2,475.78,2,1,0
C61090,2062.36,2062.36,4,515.59,7,1,1
C61257,507.34,507.34,2,253.67,3,1,0
C61280,1472.22,1472.22,3,490.74,3,1,1
C61384,802.35,802.35,3,267.45,5,1,0
C61521,690.02,690.02,2,345.01,6,1,0
C61618,488.8,488.8,4,122.2,7,1,0
C61773,981.12,981.12,4,245.28,6,1,0
C61943,985.8,985.8,2,492.9,5,1,0
C61957,483.38,483.38,1,483.38,6,1,0
C62169,184.15,184.15,1,184.15,5,1,0
C62277,309.88,309.88,4,77.47,7,1,0
C62312,52.54,52.54,1,52.54,6,1,0
C62405,460.72,460.72,2,230.36,4,1,0
C62512,275.22,275.22,3,91.74,8,1,0
C62557,1232.64,1232.64,3,410.88,8,1,1
C62622,562.61,562.61,1,562.61,3,1,0
C62627,41.09,41.09,1,41.09,4,1,0
C62656,873.72,873.72,4,218.43,9,1,0
C62666,322.5,322.5,5,64.5,8,1,0
C62740,424.4,424.4,1,424.4,6,1,0
C63018,38.49,38.49,1,38.49,4,1,0
C63150,410.91,410.91,3,136.97,4,1,0
C63153,2199.04,2199.04,4,549.76,4,1,1
C63372,2428.55,2428.55,5,485.71,10,1,1
C63378,512.39,512.39,1,512.39,2,1,0
C63657,1274.67,1274.67,3,424.89,6,1,1
C63727,724.28,724.28,2,362.14,2,1,0
C63822,507.56,507.56,4,126.89,9,1,0
C63827,1974.92,1974.92,4,493.73,6,1,1
C64160,330.98,330.98,2,165.49,4,1,0
C64516,1517.37,1517.37,3,505.79,3,1,1
C64549,1006.1,1006.1,5,201.22,6,1,0
C64554,410.52,410.52,3,136.84,4,1,0
C64579,234.37,234.37,1,234.37,5,1,0
C64638,527.57,527.57,1,527.57,3,1,0
C64641,2119.65,2119.65,5,423.93,5,1,1
C64753,1050.08,1050.08,4,262.52,4,1,0
C64935,304.11,304.11,1,304.11,2,1,0
C65021,809.92,809.92,2,404.96,4,1,0
C65056,2129.96,2129.96,4,532.49,6,1,1
C65083,2631.16,2631.16,4,657.79,6,1,1
